geo;code;thema;subthema;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Ireland;GF0205;Defence;Defence n.e.c.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ireland;GF0301;Public order and safety;Police services;9;8;8;8;8;8;9;10;10;10;9;9;8;8;6;6;6;6;5;5
Ireland;GF0302;Public order and safety;Fire-protection services;2;2;2;2;1;1;2;2;2;2;2;2;1;1;1;1;1;1;1;1
Ireland;GF0303;Public order and safety;Law courts;2;2;2;2;2;2;2;3;3;3;4;3;3;3;2;2;2;2;2;2
Ireland;GF0304;Public order and safety;Prisons;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1
Ireland;GF0305;Public order and safety;R&D Public order and safety;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ireland;GF0306;Public order and safety;Public order and safety n.e.c.;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1
Ireland;GF0401;Economic affairs;General economic, commercial and labour affairs;3;3;3;3;3;2;3;3;26;191;40;4;3;4;12;4;3;4;3;16
Ireland;GF0402;Economic affairs;Agriculture, forestry, fishing and hunting;9;7;6;5;5;4;5;11;5;4;5;5;4;4;3;3;3;3;3;3
Ireland;GF0403;Economic affairs;Fuel and energy;0;0;0;1;1;1;0;1;1;1;2;2;2;2;2;2;2;2;2;1
Ireland;GF0404;Economic affairs;Mining, manufacturing and construction;3;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;1;0;0
Ireland;GF0405;Economic affairs;Transport;19;22;21;18;17;22;22;30;24;46;22;17;17;15;10;13;11;12;11;11
Ireland;GF0406;Economic affairs;Communication;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ireland;GF0407;Economic affairs;Other industries;2;1;1;1;1;2;1;3;2;2;2;2;2;2;1;1;1;1;1;1
Ireland;GF0408;Economic affairs;R&D Economic affairs;2;2;2;2;3;3;3;3;3;3;3;2;2;2;2;2;2;2;2;2
Ireland;GF0409;Economic affairs;Economic affairs n.e.c.;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Ireland;GF0501;Environmental protection;Waste management;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ireland;GF0502;Environmental protection;Waste water management;7;7;7;6;6;6;7;8;7;6;4;4;3;4;3;3;2;2;2;2
Ireland;GF0503;Environmental protection;Pollution abatement;0;1;1;1;1;1;1;0;1;1;1;0;0;0;0;0;0;0;0;0
Ireland;GF0504;Environmental protection;Protection of biodiversity and landscape;1;0;1;1;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1
Ireland;GF0505;Environmental protection;R&D Environmental protection;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ireland;GF0506;Environmental protection;Environmental protection n.e.c.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ireland;GF0601;Housing and community amenities;Housing development;8;8;6;6;7;8;12;10;7;7;2;2;2;1;1;1;1;1;1;2
Ireland;GF0602;Housing and community amenities;Community development;2;1;2;2;2;2;2;2;1;1;2;1;1;1;1;1;1;1;1;1
Ireland;GF0603;Housing and community amenities;Water supply;4;3;3;3;3;3;3;4;4;3;4;4;4;5;4;3;3;3;4;4
Ireland;GF0604;Housing and community amenities;Street lighting;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ireland;GF0605;Housing and community amenities;R&D Housing and community amenities;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ireland;GF0606;Housing and community amenities;Housing and community amenities n.e.c.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ireland;GF0701;Health;Medical products, appliances and equipment;3;3;3;5;3;4;4;5;8;9;11;12;11;10;7;7;7;7;6;7
Ireland;GF0702;Health;Outpatient services;22;25;26;26;31;31;33;39;40;40;28;27;26;24;19;19;18;18;18;19
Ireland;GF0703;Health;Hospital services;22;24;25;25;23;22;22;22;23;19;31;29;28;26;20;20;19;18;18;21
Ireland;GF0704;Health;Public health services;3;4;4;4;1;2;2;2;3;3;2;2;3;2;2;1;1;1;1;5
Ireland;GF0705;Health;R&D Health;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ireland;GF0706;Health;Health n.e.c.;2;2;3;3;1;1;1;2;4;3;7;6;6;6;4;4;4;4;4;4
Ireland;GF0801;Recreation, culture and religion;Recreational and sporting services;2;2;2;2;2;2;2;3;2;2;1;1;2;1;1;1;1;1;1;1
Ireland;GF0802;Recreation, culture and religion;Cultural services;4;4;3;3;3;3;4;4;4;4;4;4;3;3;2;3;2;2;2;2
Ireland;GF0803;Recreation, culture and religion;Broadcasting and publishing services;0;0;0;0;0;0;0;1;3;3;3;3;3;3;2;2;2;2;2;2
Ireland;GF0804;Recreation, culture and religion;Religious and other community services;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Ireland;GF0805;Recreation, culture and religion;R&D Recreation, culture and religion;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ireland;GF0806;Recreation, culture and religion;Recreation, culture and religion n.e.c.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ireland;GF0901;Education;Pre-primary and primary education;12;13;14;15;15;15;16;18;19;20;22;21;19;18;14;14;14;13;13;13
Ireland;GF0902;Education;Secondary education;16;15;16;17;16;15;15;17;18;17;18;17;18;17;13;13;13;12;12;12
Ireland;GF0903;Education;Post-secondary non-tertiary education;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0
Ireland;GF0904;Education;Tertiary education;10;9;8;7;8;8;10;9;8;7;10;10;7;7;6;5;5;5;4;4
Ireland;GF0905;Education;Education not definable by level;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Ireland;GF0906;Education;Subsidiary services to education;1;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1
Ireland;GF0907;Education;R&D Education;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ireland;GF0908;Education;Education n.e.c.;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0
Ireland;GF1001;Social protection;Sickness and disability;12;13;13;13;27;28;30;34;38;39;27;26;26;25;19;19;15;14;13;13
Ireland;GF1002;Social protection;Old age;44;46;48;50;40;41;43;52;64;63;53;54;52;48;37;36;40;38;37;39
Ireland;GF1003;Social protection;Survivors;6;6;6;6;7;7;7;9;11;11;9;9;9;8;6;6;5;5;5;5
Ireland;GF1004;Social protection;Family and children;12;13;13;13;14;15;16;19;23;22;28;27;25;22;16;15;14;13;12;12
Ireland;GF1005;Social protection;Unemployment;13;12;12;12;14;14;15;18;23;23;30;29;27;23;16;14;11;9;8;21
Ireland;GF1006;Social protection;Housing;9;10;10;8;9;9;9;11;10;7;7;6;6;5;5;5;7;8;9;9
Ireland;GF1007;Social protection;Social exclusion n.e.c.;6;6;6;6;5;5;6;7;8;9;6;5;5;4;3;3;1;1;1;1
Ireland;GF1008;Social protection;R&D Social protection;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ireland;GF1009;Social protection;Social protection n.e.c.;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2
Greece;GF0101;General public services;Executive and legislative organs, financial and fiscal affairs, external affairs;15;15;16;16;18;16;23;17;22;19;20;17;19;19;18;19;18;19;17;20
Greece;GF0102;General public services;Foreign economic aid;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Greece;GF0103;General public services;General services;34;36;31;47;31;46;44;44;44;39;30;36;33;36;41;32;29;25;26;27
Greece;GF0104;General public services;Basic research;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Greece;GF0105;General public services;R&D General public services;2;2;3;3;3;2;2;3;3;3;3;3;3;4;4;4;4;4;4;5
Greece;GF0106;General public services;General public services n.e.c.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Greece;GF0107;General public services;Public debt transactions;64;58;51;49;49;46;47;51;53;62;77;55;43;42;38;35;34;36;32;32
Greece;GF0108;General public services;Transfers of a general character between different levels of government;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Greece;GF0201;Defence;Military defence;26;29;36;29;27;26;28;30;33;27;24;24;22;27;25;21;25;23;20;26
Greece;GF0202;Defence;Civil defence;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Greece;GF0203;Defence;Foreign military aid;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Greece;GF0204;Defence;R&D Defence;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Greece;GF0205;Defence;Defence n.e.c.;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Greece;GF0301;Public order and safety;Police services;10;10;10;10;10;9;10;9;11;11;11;12;12;13;14;14;14;15;14;15
Greece;GF0302;Public order and safety;Fire-protection services;2;2;2;2;2;2;2;2;3;2;2;3;3;3;3;3;3;3;3;3
Greece;GF0303;Public order and safety;Law courts;3;3;2;2;2;2;2;3;4;3;3;3;3;4;3;3;3;4;4;4
Greece;GF0304;Public order and safety;Prisons;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Greece;GF0305;Public order and safety;R&D Public order and safety;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Greece;GF0306;Public order and safety;Public order and safety n.e.c.;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0
Greece;GF0401;Economic affairs;General economic, commercial and labour affairs;15;13;13;15;10;4;2;2;2;3;6;36;114;3;34;2;3;2;3;55
Greece;GF0402;Economic affairs;Agriculture, forestry, fishing and hunting;1;1;4;3;2;1;3;2;4;1;1;1;1;2;2;2;2;3;2;5
Greece;GF0403;Economic affairs;Fuel and energy;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Greece;GF0404;Economic affairs;Mining, manufacturing and construction;3;3;3;3;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1
Greece;GF0405;Economic affairs;Transport;20;20;20;22;17;25;31;32;30;25;20;20;37;26;31;31;23;19;19;21
Greece;GF0406;Economic affairs;Communication;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Greece;GF0407;Economic affairs;Other industries;1;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0
Greece;GF0408;Economic affairs;R&D Economic affairs;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Greece;GF0409;Economic affairs;Economic affairs n.e.c.;13;16;15;20;14;6;2;17;15;14;15;15;13;9;6;5;7;10;13;16
Greece;GF0501;Environmental protection;Waste management;3;3;3;3;4;6;6;7;7;6;6;6;7;7;7;6;6;7;7;8
Greece;GF0502;Environmental protection;Waste water management;1;0;0;0;0;1;2;2;2;1;1;1;2;2;1;1;1;1;0;1
Greece;GF0503;Environmental protection;Pollution abatement;0;0;0;0;0;0;0;0;0;1;1;4;8;6;7;8;7;6;6;7
Greece;GF0504;Environmental protection;Protection of biodiversity and landscape;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Greece;GF0505;Environmental protection;R&D Environmental protection;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Greece;GF0506;Environmental protection;Environmental protection n.e.c.;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Greece;GF0601;Housing and community amenities;Housing development;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Greece;GF0602;Housing and community amenities;Community development;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Greece;GF0603;Housing and community amenities;Water supply;1;1;1;1;1;1;1;1;2;2;1;2;3;2;2;2;1;2;1;2
Greece;GF0604;Housing and community amenities;Street lighting;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1
Greece;GF0605;Housing and community amenities;R&D Housing and community amenities;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Greece;GF0606;Housing and community amenities;Housing and community amenities n.e.c.;1;0;1;1;1;1;1;1;2;0;0;0;0;0;0;0;0;0;0;0
Greece;GF0701;Health;Medical products, appliances and equipment;13;13;17;16;17;18;19;20;22;23;23;20;15;14;15;16;16;15;15;18
Greece;GF0702;Health;Outpatient services;2;2;2;2;3;3;3;3;3;3;4;2;5;5;5;5;5;6;6;6
Greece;GF0703;Health;Hospital services;42;40;36;33;38;38;38;40;42;43;38;37;34;28;30;32;32;34;35;40
Greece;GF0704;Health;Public health services;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Greece;GF0705;Health;R&D Health;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;1
Greece;GF0706;Health;Health n.e.c.;5;5;5;5;4;0;1;1;1;0;1;0;0;0;0;0;0;0;0;0
Greece;GF0801;Recreation, culture and religion;Recreational and sporting services;2;2;2;2;2;2;2;2;2;2;2;2;2;3;4;4;4;4;4;5
Greece;GF0802;Recreation, culture and religion;Cultural services;2;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;2;2;1;2
Greece;GF0803;Recreation, culture and religion;Broadcasting and publishing services;2;2;2;2;2;2;2;2;2;1;1;1;1;0;1;1;1;1;1;1
Greece;GF0804;Recreation, culture and religion;Religious and other community services;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Greece;GF0805;Recreation, culture and religion;R&D Recreation, culture and religion;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Greece;GF0806;Recreation, culture and religion;Recreation, culture and religion n.e.c.;0;1;1;1;1;1;1;2;2;1;2;2;2;2;2;1;1;1;1;2
Greece;GF0901;Education;Pre-primary and primary education;11;11;12;12;12;11;11;12;13;12;14;15;15;14;13;13;13;13;13;14
Greece;GF0902;Education;Secondary education;13;13;14;14;15;13;14;14;15;15;16;16;15;14;13;13;13;13;13;14
Greece;GF0903;Education;Post-secondary non-tertiary education;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Greece;GF0904;Education;Tertiary education;7;7;8;8;8;10;9;9;9;9;9;10;9;9;9;8;8;10;9;10
Greece;GF0905;Education;Education not definable by level;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Greece;GF0906;Education;Subsidiary services to education;0;1;0;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1
Greece;GF0907;Education;R&D Education;2;2;2;2;2;0;0;0;3;2;3;3;3;4;3;3;3;3;3;4
Greece;GF0908;Education;Education n.e.c.;4;5;6;5;4;1;1;1;1;2;1;2;2;2;2;1;1;1;1;2
Greece;GF1001;Social protection;Sickness and disability;15;15;15;15;15;15;15;15;16;17;18;18;15;16;16;15;17;15;16;17
Greece;GF1002;Social protection;Old age;88;89;96;92;99;105;107;121;130;136;150;160;148;154;157;159;140;138;139;157
Greece;GF1003;Social protection;Survivors;16;16;15;15;16;14;14;15;15;15;17;18;15;16;17;18;22;21;20;23
Greece;GF1004;Social protection;Family and children;6;6;6;6;7;6;6;7;9;9;7;7;7;7;7;7;7;9;9;10
Greece;GF1005;Social protection;Unemployment;8;8;7;8;8;7;8;8;10;10;12;8;8;5;5;5;5;5;6;9
Greece;GF1006;Social protection;Housing;1;1;1;2;2;2;4;3;3;1;1;0;1;1;0;0;0;0;2;2
Greece;GF1007;Social protection;Social exclusion n.e.c.;0;0;0;0;0;0;0;0;1;0;1;0;0;3;1;2;8;9;6;6
Greece;GF1008;Social protection;R&D Social protection;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Greece;GF1009;Social protection;Social protection n.e.c.;2;2;2;2;1;1;1;1;1;1;0;2;2;1;1;1;1;0;0;0
Spain;GF0101;General public services;Executive and legislative organs, financial and fiscal affairs, external affairs;16;16;17;16;17;17;16;16;18;17;17;17;18;17;16;16;14;16;15;18
Spain;GF0102;General public services;Foreign economic aid;1;1;1;1;1;2;2;3;3;2;2;1;1;1;0;1;0;0;1;1
Spain;GF0103;General public services;General services;9;9;9;8;9;10;10;10;11;11;11;10;10;10;10;10;10;10;10;11
Spain;GF0104;General public services;Basic research;4;4;4;4;4;4;5;5;6;6;6;5;5;5;5;4;5;4;5;5
Spain;GF0105;General public services;R&D General public services;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Spain;GF0106;General public services;General public services n.e.c.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Spain;GF0107;General public services;Public debt transactions;31;27;24;21;18;17;17;17;19;20;26;33;37;37;33;29;27;26;24;23
Spain;GF0108;General public services;Transfers of a general character between different levels of government;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Spain;GF0201;Defence;Military defence;10;10;9;10;10;9;9;9;9;9;9;8;9;8;8;8;8;7;7;8
Spain;GF0202;Defence;Civil defence;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Spain;GF0203;Defence;Foreign military aid;0;0;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Spain;GF0204;Defence;R&D Defence;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Spain;GF0205;Defence;Defence n.e.c.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Spain;GF0301;Public order and safety;Police services;12;12;12;12;12;12;12;13;13;14;14;13;13;13;13;12;12;11;11;13
Spain;GF0302;Public order and safety;Fire-protection services;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2
Spain;GF0303;Public order and safety;Law courts;3;3;3;3;3;3;3;3;4;4;4;4;4;4;4;3;3;3;3;4
Spain;GF0304;Public order and safety;Prisons;1;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;1;1;2
Spain;GF0305;Public order and safety;R&D Public order and safety;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Spain;GF0306;Public order and safety;Public order and safety n.e.c.;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Spain;GF0401;Economic affairs;General economic, commercial and labour affairs;10;10;11;11;11;11;12;12;13;14;18;48;14;11;10;11;11;11;12;29
Spain;GF0402;Economic affairs;Agriculture, forestry, fishing and hunting;7;6;6;6;6;6;6;7;6;6;5;4;4;4;4;3;3;4;4;4
Spain;GF0403;Economic affairs;Fuel and energy;2;1;1;1;1;1;1;1;1;1;1;1;4;6;5;4;4;4;3;5
Spain;GF0404;Economic affairs;Mining, manufacturing and construction;2;2;1;1;2;2;2;2;2;1;1;1;0;0;0;0;1;1;1;1
Spain;GF0405;Economic affairs;Transport;19;21;20;26;22;22;23;24;26;27;24;17;16;16;17;14;14;16;15;19
Spain;GF0406;Economic affairs;Communication;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Spain;GF0407;Economic affairs;Other industries;3;3;3;3;3;3;4;4;4;3;3;2;2;2;2;2;2;2;2;2
Spain;GF0408;Economic affairs;R&D Economic affairs;3;3;3;3;3;4;4;4;4;4;4;4;4;4;4;3;3;3;3;4
Spain;GF0409;Economic affairs;Economic affairs n.e.c.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Spain;GF0501;Environmental protection;Waste management;4;5;5;4;4;5;4;5;5;6;5;6;5;5;5;5;5;5;6;6
Spain;GF0502;Environmental protection;Waste water management;2;2;2;1;1;1;2;1;1;2;1;1;1;1;1;1;1;1;1;1
Spain;GF0503;Environmental protection;Pollution abatement;0;0;1;1;2;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0
Spain;GF0504;Environmental protection;Protection of biodiversity and landscape;1;2;2;2;2;2;2;2;3;2;2;1;1;1;1;1;1;1;1;1
Spain;GF0505;Environmental protection;R&D Environmental protection;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0
Spain;GF0506;Environmental protection;Environmental protection n.e.c.;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1
Spain;GF0601;Housing and community amenities;Housing development;2;2;2;2;2;2;2;3;3;3;2;2;1;2;2;2;2;1;2;2
Spain;GF0602;Housing and community amenities;Community development;6;6;6;4;5;4;4;6;7;1;1;1;1;1;1;1;1;1;0;0
Spain;GF0603;Housing and community amenities;Water supply;2;2;2;1;2;1;2;2;2;2;1;1;1;1;1;1;1;1;1;1
Spain;GF0604;Housing and community amenities;Street lighting;1;0;0;0;0;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1
Spain;GF0605;Housing and community amenities;R&D Housing and community amenities;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Spain;GF0606;Housing and community amenities;Housing and community amenities n.e.c.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Spain;GF0701;Health;Medical products, appliances and equipment;11;12;12;12;12;12;11;12;13;13;12;11;11;10;10;10;10;10;10;12
Spain;GF0702;Health;Outpatient services;18;18;19;19;20;20;20;22;24;24;23;23;23;22;23;22;22;22;23;28
Spain;GF0703;Health;Hospital services;18;18;19;20;21;22;22;23;26;26;25;24;24;25;25;25;24;25;25;32
Spain;GF0704;Health;Public health services;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Spain;GF0705;Health;R&D Health;1;1;1;1;2;2;2;2;3;3;3;3;3;3;3;3;3;3;3;3
Spain;GF0706;Health;Health n.e.c.;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0
Spain;GF0801;Recreation, culture and religion;Recreational and sporting services;3;3;3;3;3;4;4;4;5;5;5;4;4;4;4;4;4;4;4;4
Spain;GF0802;Recreation, culture and religion;Cultural services;5;5;6;6;6;6;7;7;7;7;6;5;4;5;5;4;4;4;5;5
Spain;GF0803;Recreation, culture and religion;Broadcasting and publishing services;4;4;3;3;3;3;3;3;3;3;3;2;2;2;2;2;2;2;2;2
Spain;GF0804;Recreation, culture and religion;Religious and other community services;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Spain;GF0805;Recreation, culture and religion;R&D Recreation, culture and religion;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Spain;GF0806;Recreation, culture and religion;Recreation, culture and religion n.e.c.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Spain;GF0901;Education;Pre-primary and primary education;15;16;15;16;15;15;16;16;18;18;17;16;16;16;16;16;16;16;16;18
Spain;GF0902;Education;Secondary education;15;15;15;15;15;15;15;16;17;16;16;15;15;15;15;15;15;15;15;18
Spain;GF0903;Education;Post-secondary non-tertiary education;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Spain;GF0904;Education;Tertiary education;7;7;7;7;6;6;6;6;7;7;7;6;6;6;6;6;6;6;6;6
Spain;GF0905;Education;Education not definable by level;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Spain;GF0906;Education;Subsidiary services to education;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Spain;GF0907;Education;R&D Education;0;0;0;0;0;0;0;0;1;1;0;1;1;1;1;1;1;1;1;1
Spain;GF0908;Education;Education n.e.c.;1;1;2;1;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1
Spain;GF1001;Social protection;Sickness and disability;22;21;21;21;21;21;22;22;24;24;24;23;24;24;24;24;24;24;25;31
Spain;GF1002;Social protection;Old age;61;62;61;60;60;61;61;63;71;75;79;85;90;92;92;92;92;94;95;109
Spain;GF1003;Social protection;Survivors;19;18;18;19;19;18;18;19;20;21;22;23;24;24;23;23;22;22;23;26
Spain;GF1004;Social protection;Family and children;5;5;6;6;6;6;7;8;9;9;8;7;7;7;7;7;8;8;9;10
Spain;GF1005;Social protection;Unemployment;14;15;15;15;15;15;15;20;31;32;31;34;32;27;21;18;16;15;16;38
Spain;GF1006;Social protection;Housing;0;0;0;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0
Spain;GF1007;Social protection;Social exclusion n.e.c.;1;3;3;3;3;2;2;2;2;3;2;2;3;3;3;3;3;3;4;5
Spain;GF1008;Social protection;R&D Social protection;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Spain;GF1009;Social protection;Social protection n.e.c.;3;2;2;2;2;2;2;3;3;3;3;3;2;2;2;2;1;1;1;1
France;GF0101;General public services;Executive and legislative organs, financial and fiscal affairs, external affairs;19;19;19;19;19;17;19;17;20;18;17;17;19;18;17;17;19;17;17;19
France;GF0102;General public services;Foreign economic aid;1;1;2;2;2;1;1;1;1;2;2;2;2;2;2;1;2;2;2;2
France;GF0103;General public services;General services;21;20;18;19;19;19;19;19;21;18;18;19;19;18;18;18;18;18;18;19
France;GF0104;General public services;Basic research;6;6;6;6;6;5;5;5;4;4;3;3;3;3;3;3;3;3;3;3
France;GF0105;General public services;R&D General public services;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
France;GF0106;General public services;General public services n.e.c.;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
France;GF0107;General public services;Public debt transactions;31;31;29;28;28;27;28;29;26;27;28;27;25;23;22;20;19;18;16;14
France;GF0108;General public services;Transfers of a general character between different levels of government;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
France;GF0201;Defence;Military defence;17;17;16;16;15;15;15;15;16;16;15;15;15;15;15;16;15;15;15;17
France;GF0202;Defence;Civil defence;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
France;GF0203;Defence;Foreign military aid;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
France;GF0204;Defence;R&D Defence;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
France;GF0205;Defence;Defence n.e.c.;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
France;GF0301;Public order and safety;Police services;9;9;9;9;9;9;9;9;10;10;9;9;9;9;9;9;9;9;9;10
France;GF0302;Public order and safety;Fire-protection services;2;2;2;2;2;2;3;3;3;3;3;3;3;3;3;3;3;3;3;3
France;GF0303;Public order and safety;Law courts;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
France;GF0304;Public order and safety;Prisons;1;1;1;1;1;1;1;1;1;2;1;1;2;2;2;2;2;2;2;2
France;GF0305;Public order and safety;R&D Public order and safety;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
France;GF0306;Public order and safety;Public order and safety n.e.c.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
France;GF0401;Economic affairs;General economic, commercial and labour affairs;9;9;8;8;8;8;7;8;10;11;9;11;10;15;19;17;17;18;19;23
France;GF0402;Economic affairs;Agriculture, forestry, fishing and hunting;4;4;4;4;4;4;4;4;4;4;4;2;2;2;3;2;2;2;2;2
France;GF0403;Economic affairs;Fuel and energy;2;3;3;2;2;2;2;2;2;2;3;4;4;4;4;4;4;4;5;6
France;GF0404;Economic affairs;Mining, manufacturing and construction;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
